Text,org_class
Mechanical ventilation systems must be commissioned in accordance with an approved procedure.,subjective
NOTE: Rooms that are designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour) should not be designed to be occupied.,subjective
The air extract rate should be 20 litres per second per machine during use.,numerical
The whole building ventilation rate should be met.,subjective
Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,subjective
"Where used, passive stack ventilation terminals should be located in the ceiling.",subjective
"Each office should have the means to provide purge ventilation, to reduce pollutants before the office space is occupied or after activities such as painting.",subjective
Controls should be provided for ventilators so that the ventilation in each room can be adjusted.,numerical
"Ventilation systems that, under normal operation, recirculate air between more than one space, room or zone should also be able to operate in a mode that reduces the risk of the transmission of airborne infection.",subjective
"For car parks below ground level, enclosed car parks and multistorey car parks, the ventilation rate should be designed, and equipment installed, to limit carbon monoxide to both of the following: a. natural ventilation by appropriately located ventilation opening(s) with a total opening area of at least 1/50 of the floor area of the common space; b. mechanical ventilation installed to provide a supply of fresh air of 0.5 litres per second per m2 of floor area.",subjective
Extract ventilators in sanitary accommodation should be capable of continuous operation if required.,subjective
Ventilation intakes should be located away from the direct impact of the sources of local pollution.,subjective
"Where there is a prevailing wind direction, exhaust outlets should be downwind of intakes.",subjective
NOTE: Ventilation through infiltration should be considered to be part of the ventilation provision of a building.,subjective
"NOTE: If an exposed facade is close to an area of sustained and loud noise (e.g. a main road), then a noise attenuating background ventilator should be fitted.",subjective
Mechanical ventilation systems must be commissioned to provide adequate ventilation.,subjective
commissioning notice must be given to the building control body.,subjective
"For new and existing buildings other than dwellings, information should be provided in a new or existing building log book.",subjective
A copy of the completed commissioning sheet should be given to the owner of the building.,combined
That background ventilators allow fresh air into the building and should be left open.,subjective
Extract ventilation may be by natural means or by mechanical means (e.g. by an extract fan or acentral system).,numerical
Purge ventilation may be provided by natural means (e.g. an openable window) ormechanical means (e.g. a fan).,numerical
"There should be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person.",numerical
There should be no visible mould on the inner surfaces of external walls of a properly heated building with typical moisture generation.,subjective
Public Health Englands Indoor Air Quality Guidelines for Selected Volatile Organic Compounds (VOCs) in the UK should be used.,subjective
Monitors should therefore be positioned at least 500mm away from room occupants.,numerical
"Instantaneous or snapshot CO2 readings can be misleading, so several measurements should be taken throughout the day.",subjective
The frequency of measurements should be sufficient to ensure that changes in the use of the room or space throughout the day are represented in the readings.,numerical
"How the measurements can help you take action CO2 measurements should be used as a broad guide to ventilation within a space, rather than treated as safe thresholds.",subjective
"Stairs, ladders and ramps shall be so designed, constructed and installed as to be safe for people moving between different levels in or about the building.",subjective
"For dwellings, for external tapered steps and stairs that are part of the building the going of each step should be a minimum of 280mm.",numerical
The normal relationship between the dimensions of the rise and going is: twice the rise plus the going (2R G) equals between 550mm and 700mm.,numerical
"Gangways should not be less than 1100mm wide unless used by not more than 50 persons, in which case gangways should be a minimum of 900mm.",numerical
"In a tier that is uninterrupted by cross-gangways, and where the pitch exceeds 25, use a maximum number of steps of 40.",numerical
"For buildings other than dwellings and for common access areas in buildings that contain flats, Provide all means of escape routes with a minimum clear headroom of 2m, except in doorways.",numerical
"Where there is full-height structural guarding, if you provide a second (lower) handrail, the vertical height from the pitch line of the steps (or the surface of the ramp) to the top of the second (lower) handrail should be 600mm.",numerical
NOTE: A floor level with a gradient of 1:20 or steeper should be designed as a ramp.,subjective
Length of landings to be at least equal to the width of the ramp.,numerical
"(a) any light well, basement area or similar sunken (b) any light well, basement area or similar sunken area connected to a building, shall be provided with barriers where it is necessary to protect people in or about the building from falling.",subjective
"Glazing, with which people are likely to come into contact whilst moving in or about the building shall: (a) if broken on impact, break in a way which is unlikely to cause injury; or (b) resist impact without breaking; or (c) be shielded or protected from impact.",subjective
"Provision shall be made to prevent people moving in or about the building from colliding with open windows, skylights or ventilators.",subjective
"Windows, skylights and ventilators which can be opened by people in or about the building shall be so constructed or equipped that they may be opened, closed or adjusted safely.",subjective
"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.",subjective
Special safety features are not necessary if the ladder is not more than 6m long.,numerical
"Provision shall be made to prevent any door or gate: (a) which slides or opens upwards, from falling onto any person; and (b) which is powered, from trapping any person.",subjective
Provision shall be made for powered doors and gates to be opened in the event of a power failure.,subjective
Provision shall be made to ensure a clear view of the space on either side of a swing door or gate.,subjective
"For sliding doors and gates, provide both of the following: (i) a stop or other effective means to prevent them coming off the end of the track; (ii) a retaining rail to prevent doors and gates falling if the suspension system fails or the rollers leave the track.",combined
The floor area of the extension does not exceed 30m2.,numerical
The floor area of the extension does not exceed 30m2.,numerical
What constitutes a substantial proportion should be assessed on a case-by-case basis by the building control body.,subjective
"Manual controls, where provided, should be within reasonable reach of the occupants.",combined
"Where a building is erected, it must be a nearly zero-energy building.",subjective
"Both before and after a newly constructed dwelling is built, a notice must be given to the building control body of the calculations.",numerical
A new dwelling must be built to a minimum standard of total energy performance.,subjective
"For a building that contains more than one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling.",combined
"The same approved calculation tool must be used to calculate the target primary energy rate, target emission rate and target fabric energy efficiency rate and the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate.",subjective
The dwelling primary energy rate must not exceed the individual dwellings target primary energy rate.,subjective
The dwelling emission rate must not exceed the individual dwellings target emission rate.,subjective
The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate.,subjective
"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology.",subjective
The efficiency of the secondary heating appliance with its appropriate fuel should be used in the calculation of the dwelling primary energy rate and dwelling emission rate.,subjective
"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.",subjective
The annual percentage of heat supplied from each heat source should be the same for each newly connected dwelling.,subjective
A new district heat network should be taken as meaning any other district heat network.,subjective
"Instead, the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround.",subjective
"When a dwelling undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.",subjective
"U-values should be assessed for the whole fabric element (e.g. in the case of a window, the combined performance of the glazing and the frame).",subjective
"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.",subjective
"To correctly assess whether an element meets the limiting U-value, the U-value must be calculated for the element in the appropriate plane - either horizontal or vertical.",subjective
"For windows and roof windows, U-values should be calculated based on a vertical position.",subjective
"For roof-lights, U-values should be calculated based on a horizontal position.",subjective
"If performance requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",subjective
"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U-values), which is often greater than the area of the roof opening.",subjective
An upstand built on site should not exceed a U-value of 0.35W/(m2K).,subjective
These fittings should not exceed a centre pane U-value of 1.2W/(m2K).,subjective
Single glazing should be supplemented with low-emissivity secondary glazing.,subjective
"wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness (6mm) glazing should be shown to meet the required standard.",subjective
"U-values for rooflights or rooflight-and-kerb assemblies should be based on the outer developed surface area, which  is often greater than the area of the roof opening.",subjective
"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).",subjective
The depth of the insulation plus any required air gap should be at least to the depth of the rafters.,subjective
The insulant should be chosen to achieve the lowest practicable U-value.,subjective
The building fabric should be constructed so that the insulation is reasonably continuous across newly built elements.,subjective
"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",subjective
"Floors and foundations: insulation should be installed tight to the structure, without air gaps between insulation panels and at edges.",subjective
Perimeter insulation should be continuous and have a minimum thickness of 25mm.,subjective
Moisture-resistant insulation should be fitted below damp-proof course level and extend to the foundation block/structure.,subjective
Windows and doors: should be installed in such a way that the thermal integrity of the insulated plane is maintained.,subjective
"Position: window or door units should be located with an overlap between the inner face of the unit and the inner face of the external leaf  for windows an overlap between 30mm and 50mm, and for doors 50mm so that the window or door unit is contiguous with the insulation layer of the external wall.",subjective
"Fully insulated and continuous cavity closers should be used, installed tight to the insulation and cavity apertures.",subjective
"Walls: insulation should be fitted without any air gaps and tight to the structure, cavity closers, lintels and cavity trays.",subjective
Mortar snots should be removed to ensure a tight fit with the structure and cavities cleared of all debris.,subjective
"Roofs: insulation should be installed tight to the structure, without air gaps, and should extend to the wall insulation.",subjective
"For roofs insulated at ceiling level, the long-term protection of the insulation layer should be considered: boarded areas should be provided above the insulation to give access for maintenance.",subjective
Boards should be fitted to the structure to avoid any gaps between board edges and between the board facings.,subjective
The use of boards with lapped or tongue and groove edges should be considered.,subjective
Any unavoidable gaps between boards should be infilled using compressible tape (e.g. for boards within roof rafters) or low expansion foam (e.g. for boards within wall cavities).,subjective
Designs should clearly indicate means to limit disruption to the insulation.,subjective
"For recessed meter boxes on the cold side of the construction, insulation should be installed behind the enclosure.",subjective
"The building fabric should be constructed so that thermal bridging, including at the party wall, is reasonably limited.",subjective
Drawings should be provided for junctions.,subjective
Complex details should be avoided wherever possible.,subjective
"Before elements are concealed by subsequent work, an onsite audit should be undertaken to confirm that the designed details have been constructed.",subjective
"Foundations: wherever possible, blocks below the damp-proof course should be the same as those specified in the design for the above-ground main wall element (in masonry construction).",subjective
Ground floors and external walls: the wall-to-floor junctions should be detailed to achieve continuity of insulation.,subjective
Masonry construction: external or cavity wall insulation should extend below the damp-proof course (where applicable) and be at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.,subjective
Intermediate floors: floor-to-wall junctions should be detailed to ensure that insulation in the external wall is continuous.,subjective
"For a timber frame where the intermediate floor structure breaches the external wall insulation, further insulation  of the same thickness as the insulation used in the external wall should be included within the depth of the intermediate floor structure.",subjective
"For common leaf lintels, the base plate should not be continuous and the lintel core should be insulated.",subjective
Insulated cavity closers should be used for all construction types.,subjective
"Additionally, insulated plaster-board should be used in reveals to abut jambs and should be considered within reveal soffits.",subjective
"Wall insulation should be installed to the top of the wall plate; in some places, such as the eaves, this may be above the cavity closure or barrier.",subjective
"In all cases, roof insulation should be continuous with wall insulation.",combined
The roof insulation should be installed when the eaves are still accessible.,subjective
"At gables and party walls, insulation should extend to the wall; if the space between the wall and joist is less than 100mm, perimeter insulation may be required.",subjective
Voids between insulation at the top of the external wall and the cavity wall/timber frame insulation should be fully filled with insulation.,subjective
"Drawings: all relevant drawings should be provided to clearly identify the position, continuity and extent of the air barrier.",subjective
Drawings should be reviewed by the designer and installer and should include specifications for key materials.,subjective
"Incoming services: ducts, and cables wherever possible, should be grouped to minimise how often the air barrier is penetrated, while ensuring sufficient space to allow adequate screed flow between ducts.",subjective
Grommets or flexible collars should be used around incoming services and sealed to the air barrier with air-sealing tape or sealant.,subjective
"Internal building services: where services penetrate the air barrier, holes should be as small as possible and should be core drilled to limit damage.",subjective
The penetrating services should be sealed to the air barrier using proprietary grommets or collars with air-sealing tape or sealant.,subjective
"Where membranes are penetrated, careful detailing should be used to achieve a robust and durable seal at these penetrations.",subjective
Cavity walls: the inner block leaf mortar joint should be fully filled and pointed within the cavity.,subjective
"Any damage, such as tears, should be repaired before boarding.",subjective
"Where sheathing board forms the air barrier, airsealing tape should be applied at junctions and edges.",subjective
Fixings: care should be taken to ensure that fixings do not damage the airtightness barrier.,subjective
"Windows and doors: to ensure continuity of the air barrier, window and door units should connect to the primary air barrier and window and door frames should be taped to surrounding structural openings, using air sealing tape.",subjective
"Loft hatches: where the roof is insulated at ceiling level, hatches should be suitably designed and installed to ensure optimum airtightness.",subjective
The space between the air barrier and the insulation layer should be filled with solid material.,subjective
"When installing or renovating thermal elements, the element being installed should be draught-proofed, and air-leakage gaps should be filled.",subjective
"When installing windows, roof windows, rooflights or doors (all of which are controlled fittings), the controlled fitting should be well fitted and reasonably draught-proof.",subjective
"In an existing system, when a boiler or hot water storage vessel is replaced, any accessible pipes in the dwelling should be insulated.",subjective
"Where pipework is above ground, the performance of the pipe insulation should be at least as high as the insulating performance of pipework in the buried part of the system.",subjective
"For sizes of cylinder not listed, the heat loss from the cylinder should not exceed (16.66  8.33  V0.4)/(1000  24), where V is the volume in litres.",subjective
Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,subjective
The test data should be certified by a notified body.,subjective
"If renewable technology such as a wind turbine or photovoltaic array is replaced, the new system should have an electrical output that is at least the same as that of the original installation.",numerical
Facilitating future connection to any local district heat networks should be considered (e.g. providing capped off connections in pipework to allow later connection to a local district heat network).,subjective
"Where a gas combination boiler is used, the boiler type should be selected to modulate down to the typical heating load of the dwelling.",subjective
"Where a wet heating system is either: a. newly installed b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all parts of the system including pipework and emitters should be sized to allow the space heating system to operate effectively and in a manner that meets the heating needs of the dwelling, at a maximum flow temperature of 55C or lower.",subjective
"where there is insufficient space for larger radiators, or the existing distribution system is provided with higher temperature heat from a low carbon district heat network), the space heating system should be designed to the lowest design temperature possible that will still meet the heating needs of the dwelling.",subjective
Heat pumps should be selected to meet the full space heating requirement at the design condition chosen for heat loss calculations.,subjective
"For wet heating systems in new dwellings with a floor area of 150m2 or greater, a minimum of two independently controlled heating circuits should be provided.",numerical
System controls should be wired so that when there is no demand for space heating or hot water the heating appliance and pump are switched off.,subjective
"For space heating systems, temperature control should be installed for the heating appliance.",subjective
"For heating systems in new dwellings, or when a heat generator such as a boiler is replaced in an existing dwelling, each room should be provided with thermostatic room controls.",subjective
"If work is carried out on a system that includes a boiler, a boiler interlock should be installed.",subjective
"If a gas-fired combination boiler is installed in an existing dwelling, at least one of the following energy efficiency measures, appropriate to the system, should be installed.",subjective
"Where controls are external to the heater, the system should be provided with a time switch/programmer and room thermostat, or programmable room thermostat.",subjective
"Where controls are integrated in the heater, the system should be provided with a time switch/programmer and room temperature sensor linked to heater firing and fan speed control.",subjective
Independent temperature control of the hot water circuit should be implemented with a cylinder thermostat and a timing device.,subjective
The number of appliances should not exceed one per 100m2 of dwelling floor area.,numerical
"For an electrically operated appliance, an integral remote or thermostatic control should be provided.",subjective
Automatic control of input charge should be provided.,subjective
"The rate of heat release from the appliance should be adjustable, using an adjustable damper or other thermostatically controlled method.",subjective
An existing district heat network that is being connected to a new dwelling should not have a CO2 emission factor for delivered heat to the dwelling which is greater than 0.350kgCO2/kWh.,subjective
The design temperature difference for the community heating primary circuit should be a minimum of 20C.,subjective
Variable volume control systems should be used to reduce the volume of water and the pressure difference required from the pumps under part load.,subjective
District heat networks and community heating systems should be designed to accommodate heat meter(s) for each dwelling.,subjective
The heating plant emission rate of the micro combined heat and power system (microCHP) should be no greater than the emission rate of a regular boiler using the same fuel as the microCHP.,subjective
Heating systems for screed floors that are greater than 65mm thick should automatically reduce the room temperature at night or when the room is unoccupied.,subjective
Ground floors and those in contact with the outside of the dwelling should be insulated to limit heat losses to not more than 10W/m2.,subjective
"The heat loss from the floor should be calculated using the sum of the thermal resistance of the floor finish and the underlying heated layer, multiplied by 10.",subjective
Under-floor heating systems intended for intermittent or cyclical operation and/or installed over unheated rooms should be separated from the structural floor by a layer of insulation with a thermal resistance of at least 1.25(m2K)/W.,subjective
"Electric cables for underfloor heating should be installed within screeds as follows: For direct electric systems, within screeds not exceeding 60mm; For night energy storage systems, within screeds of at least 65mm.",subjective
Programmable room thermostats with an override feature should be provided for all direct electric zones of the electric underfloor heating system.,subjective
"For heat pump installations in which there are other heat sources available to the same building, each of these heat sources should be appropriately incorporated into a singular control system.",subjective
Heat pumps should be located and installed subject to the manufacturers guidance.,subjective
"For a heat exchanger between a solar primary and secondary system, a minimum of 0.1m2 or equivalent of heat exchanger area should be provided for every 1m2 of the net absorber area of the solar collector.",numerical
The specification of comfort cooling systems should be based on a heat gain calculation for the dwelling.,subjective
"Systems should not be significantly oversized in most circumstances, the cooling appliance should not be sized for more than 120 of the design cooling load.",subjective
The seasonal energy efficiency ratio of an air conditioner working in cooling mode should be a minimum of 4.0.,numerical
Systems should be designed so that they can be commissioned to suitable ventilation rates so that spaces are not significantly over-ventilated.,subjective
"If luminous efficacy is greater than 75 light source lumens per circuit-watt, manual control is acceptable.",subjective
"Where onsite electricity generation and storage is installed, such as photovoltaic panels or battery storage, systems should be an appropriate size for the site, available infrastructure and onsite energy demand.",subjective
"When replacing an existing system, the installed generation capacity of the new system should be no less than that of the existing system, except where a smaller system can be demonstrated to be more appropriate or effective (e.g. replacing an existing system with one which is better matched to the dwelling's energy demand).",subjective
An air pressure test should be carried out on every dwelling.,subjective
"The dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate, all calculated using the measured air permeability, must not be higher than the target primary energy rate, target emission rate and target fabric energy efficiency rate, respectively.",subjective
"The results of all pressure tests on dwellings, including any test failures, should be reported to the building control body.",subjective
Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,subjective
Fixed building services must be commissioned to ensure that they use no more fuel and power than is reasonable in the circumstances.,subjective
On-site electricity generation systems must be commissioned to ensure that they produce as much electricity as is reasonable in the circumstances.,subjective
"For new dwellings, the commissioning plan should be given to the building control body with the design stage dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate calculations.",subjective
A suitable chemical inhibitor should be added to the primary heating circuit to protect against scale and corrosion.,subjective
"In hard water areas, suitable measures should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce lime-scale accumulation.",subjective
Ground arrays including header pipes and manifolds should be flushed as one system to remove all debris and purged to remove all air.,subjective
"Vertical, horizontal and slinky ground arrays in particular should be flushed in both directions.",subjective
"During this process, the heat pump (along with its accompanying pipework) should be isolated from the ground heat exchanger such that damage to the internal heat exchanger inside the heat pump is avoided.",subjective
The heat pump along with its accompanying pipework should be flushed and purged as a separate system while isolated from the ground array system.,subjective
Systems should be commissioned to optimise the use of energy for pumping.,subjective
"For existing dwellings, when installing a complete new or replacement system (e.g. replacing a heating system including the heating appliance, pipework and heat emitters), the energy performance of the whole system should be assessed.",subjective
"For existing dwellings, when carrying out work on an existing system, such as installing or replacing
components (e.g. replacing a boiler but retaining the pipework and heat emitters), the energy performance of the new components should be assessed.",subjective
Units should be draught-proofed.,subjective
Insulated cavity closers should be installed where appropriate.,subjective
"The area of windows, roof windows, rooflights and doors should not exceed 25 of the total floor area of the dwelling.",numerical
"If the area of windows, roof windows, rooflights and doors exceeds 25 of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",subjective
"The term controlled fitting refers to the entire unit of a window, roof window, rooflight or door, including the frame.",subjective
A conservatory or porch must have thermal separation from the existing dwelling.,subjective
"Any walls, doors and windows should be insulated and draught-proofed to at least the same extent as in the existing dwelling.",subjective
 The area of openings in the newly created dwelling should not be more than 25 of the total floor area.,numerical
The annual energy savings should be estimated using the Standard Assessment Procedure.,subjective
"Areas that are not enclosed, such as open floors, covered ways and balconies, should be excluded.",subjective
The photographs should be made available to the energy assessor and the building control body.,subjective
One photograph per detail should be recorded.,numerical
"Photographs should be taken at appropriate construction stages for each detail when completed, but prior to closingup works.",subjective
"Geo-location should be enabled to confirm the location, date and time of each image.",subjective
The energy efficiency of historic and traditional buildings should be improved only if doing so will not cause long-term deterioration of the buildings fabric or fittings.,subjective
"In determining whether full energy efficiency improvements should be made, the building control body should consider the advice of the local authoritys conservation officer.",subjective
The floor area of the extension does not exceed 30m2.,numerical
The floor area of the extension does not exceed 30m2.,numerical
A building that contains both living accommodation and space for commercial purposes (e.g. for a workshop or office) should be treated as a dwelling if the commercial part can be reverted to domestic use.,subjective
"Manual controls, where provided, should be within reasonable reach of the occupants.",subjective
"Where a building is erected, it must be a nearly zero-energy building.",subjective
"Both before and after a newly constructed building is built, a notice must be given to the building control body of the calculations.",subjective
A new building must be built to a minimum standard of total energy performance.,subjective
"The target primary energy rate and target emission rate must be calculated using one of the calculation tools in the approved methodology, used in line with the version policy as stated in the methodology.",subjective
"The same approved calculation tool must be used to calculate the target primary energy rate, the target emission rate, the building primary energy rate and the building emission rate.",subjective
Biomass heating supplemented by an alternative appliance (e.g. gas) -  the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels.,subjective
"The building emission rate and building primary energy rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the combined emission factor has been derived.",subjective
"Appliances capable of burning both biomass fuel and fossil fuel  the CO2 emission factor and primary energy factor for dua-lfuel appliances should be used, except where the building is in a smoke control area, when the anthracite figure should be used.",subjective
CO2 emissions and primary energy associated with the thermal energy streams of a trigeneration scheme should be attributed in proportion to the output energy streams.,subjective
A new district heat network should be taken as meaning any other district heat network.,subjective
"The building primary energy rate and building emission rate submission should be accompanied by a report, signed by a suitably qualified person, detailing how the CO2 emission factors and primary energy factors have been derived.",subjective
Modular and portable buildings with a planned service life of more than two years at a single location should be shown to comply with the energy efficiency requirements.,subjective
Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,subjective
"Whenever the building is moved to a new location, in which its intended time of use is less than two years, these calculations can be provided as evidence that the energy efficiency requirements are met.",subjective
"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical heating technology may be electric resistance heating.",subjective
"Instead, the building primary energy rate and building emission rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround.",subjective
"A target primary energy rate, target emission rate, building primary energy rate and the building emission rate should be calculated for non-exempt buildings with low energy demand.",subjective
The building envelope should be insulated to a degree that is reasonable in the particular case.,subjective
"The building control body should be notified that the analysis of high-efficiency alternative systems has been undertaken, that it is documented and is available to be verified.",subjective
"When a building undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.",subjective
"U-values should be assessed for the whole thermal element (e.g. in the caseof a window, the combined performance of the glazing and the frame).",subjective
"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.",subjective
"To correctly assess whether an element meets the limiting U-value, the U-value must be calculated for the element in the appropriate plane  either horizontal or vertical.",subjective
"For windows and roof windows, U-values should be calculated based on a vertical position.",subjective
"For rooflights, U-values should be calculated based on a horizontal position.",subjective
Single glazing should be supplemented with low-emissivity secondary glazing.,subjective
"If meeting such a standard in an existing building would reduce by more than 5 the internal floor area of the room bounded by the wall, a lesser provision may be appropriate.",subjective
"If other performance (e.g. wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness glazing should be shown to meet the required standard.",subjective
"There are no limits on the design of display windows and similar glazing, but for new buildings their impact must be taken into account in the calculation of primary energy and CO2 emissions.",subjective
"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U_d values), which is often greater than the area of the roof opening.",subjective
"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).",subjective
The depth of the insulation plus any required air gap should be at least to the depth of the rafters.,subjective
The insulant should be chosen to achieve the lowest practicable U-value.,subjective
"If meeting such a standard would reduce the internal floor area of the room bounded by the wall by more than 5, a lesser standard may be appropriate.",subjective
The insulation should be reasonably continuous across newly built elements.,subjective
"Thermal bridging, including at the party wall, should be reasonably limited.",subjective
The space between the air barrier and the insulation layer should be filled with solid material.,subjective
"When installing or renovating thermal elements, the element being installed should be draught-proofed and airleakage gaps should be filled.",subjective
"When installing controlled fittings, the controlled fitting should be well fitted and reasonably draught-proof.",subjective
Hot water pipework should be insulated in all areas inside and outside the building unless it can be demonstrated that the heat is always useful.,subjective
Cooling pipework should be insulated along its whole length.,subjective
Control should be maximised and heat gain to uninsulated pipes should only be permitted where the proportion of the cooling load relating to distribution pipework is less than 1 of the total load.,subjective
Where a system for onsite electricity generation is installed (a) reasonable provision must be made to ensure that (i) the system and its electrical output are appropriately sized for the site and available infrastructure; (ii) the system has effective controls; and (b) it must be commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances.,subjective
The test data should be certified by a notified body.,subjective
"NOTE: For grid-supplied electricity, a CO2 emission factor of 0.136kgCO2/kWh and primary energy factor of 1.501kWhPE/kWh should be used.",subjective
"Where a wet heating system is either: a. newly installed; b. fully replaced in an existing building, including the heating appliance, emitters and associated pipework all parts of the system, including pipework and emitters, should be sized to allow the space heating system to operate effectively, and in a manner that meets the heating needs of the building, at a maximum flow temperature of 55C or lower.",subjective
"Where it is not feasible to install a space heating system that can operate at this temperature (e.g. where there is insufficient space for larger radiators, or the existing distribution system is provided with higher temperature heat from a low carbon district heat network), the space heating system should be designed to the lowest design temperature possible that will still meet the heating needs of the building.",subjective
The service should be appropriate to the requirements of the space.,subjective
The default condition should be off.,subjective
"System controls should be wired so that when there is no demand for space heating, the heating appliance and pump are switched off.",subjective
"Before a new heating appliance is installed, all central heating and primary hot water circuits should be thoroughly cleaned and flushed out.",subjective
A suitable chemical inhibitor should be added to the primary heating circuit to protect against scale and corrosion.,subjective
"In hard water areas, suitable measures should be taken to treat the feed water to water heaters and the hot water circuit of combination boilers to reduce limescale accumulation.",subjective
"For heating and cooling systems in a new non-domestic building, or when a heat generator such as a boiler is replaced in an existing non-domestic building, each room should be provided with thermostatic room controls.",subjective
These should be capable of being used to separately adapt the heating or cooling output in each room served by the heating or cooling appliance.,subjective
"The various enduse categories, such as heating, lighting and cooling, should be submetered in such a way that at least 90 of the annual energy consumption of each fuel can be assigned to an enduse.",subjective
The outputs of any renewable systems should be separately monitored.,subjective
"In buildings with a total useful floor area greater than 1000m2, automatic meter reading and data collection facilities should be installed.",subjective
"In cases where the Energy Related Products Regulations and the Building Regulations both apply, both standards should be met.",subjective
"Equipment should be designed, specified and installed with the aim of maximising its efficiency as installed.",subjective
Non-condensing boilers should be fitted with a flue condensing kit where feasible and where the boiler is likely to be able to operate in condensing mode (e.g. variable temperature circuits).,subjective
"NOTE: For example, if the total system output is made up of three equally sized boilers, at 15 of system output the lead boiler will be operating at 45 of its rated output with the other two boilers switched off.",subjective
NOTE: Linear interpolation should be used to determine efficiencies between manufacturers declared efficiencies at 30 and 100 load.,subjective
"If efficiencies at below 30 are required and unavailable, the boiler efficiency may be taken as equal to that at 30 load.",subjective
"NOTE: All boilers should be used in the calculation, including any that are identical.",subjective
Gasfired boilers and multi-stage oilfired boilers with an output of more than 500kW should have fully modulating burner controls.,subjective
Timing and temperature demand control should be provided.,subjective
"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.",subjective
"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.",subjective
"The input charge for electric storage heaters should be adjusted automatically, based on the internal air temperature.",subjective
Manual control of heat release from the appliance should be possible.,subjective
Manual reset should be possible if there is an over-temperature trip.,subjective
Multiple cooling units should be provided with controls that ensure that the combined plant operates in its most efficient modes.,subjective
The default condition should be off.,subjective
"For systems that have the ability to use free cooling or heat recovery, the SEER should be derived for the specific application, including free cooling or heat recovery elements.",subjective
