object,property,quality,value
environment,,balanced against preserving historic buildings or environments,
cold premises,,accessibility,
equipment,,served by fans,
Account,,made for people,
precipices,,achieve satisfactory performance in retests,
Barriers,,situated centrally with a distribution system to supply water to the drawoff points,
loading docks,,"performed following the guidance in the approved airtightness testing methodology, CIBSEs TM23",
Combustion appliances,,positioned with the end opposite to the entry point located against a wall at every floor level,
boom barriers,,finished,
emergency repairs,,close to the liftway,
ventilation valves,,suitable for powering the lifting device,
Routes,,link details as used in the actual building,
Staircases,,from a minimum of five in-situ measurements of the same module types,
Standing areas,,"in line with the approved airtightness testing methodology, CIBSEs TM23",
loading area,,implemented,
materials,,between landings,
separator devices,,to improve the fabric of the building served by the service,
water pipes,,Individual,
vehicle traffic area,,unknown,
courtyard,,consequential improvements should be installed,
chimneys,,being increased,
ventilation equipment,,being extended,
Air flows,,total useful,
working area,,"assessed, and the results documented and handed over to the building owner with the manufacturers supporting literature",
chamber,,"where necessary, ramped",
Dwellings,,to identify the floor reached,
wall covering,,three-part,
watertight connection,,"recirculate air between more than one space, room or zone",
joint,,controllable,
floor structures,,located away from the direct impact of the sources of local pollution,
wet room,,not penetrate to the occupied parts of buildings to an extent which would give rise to an irritant concentration,
exterior wall,,not penetrate to occupied parts of buildings to an extent which would give rise to an irritant concentration,
water removal system,,distributed proportionately to the volume of each habitable room,
slots,,completed for each installation address,
fire-extinguishing system,,checked to ensure it is correctly mounted within the wall or window aperture,
emergency centre,,not separate rooms,
Waterproofing,,considered separately,
water pressure barrier,,above ground level,
Wet room,,adjusted to achieve the required flows at each terminal,
built on site,,adjusted to achieve the required flow rates at each terminal,
elements,,achieved using background ventilators,
audit,,approximately achieve the desired continuous flow rate,
Boards,,tested where it is practical,
Floors,,able to operate in a mode that reduces the risk of the transmission of airborne infection,
foundations,,of the same equivalent area as for other habitable rooms,
construction layers,,gently sloping,
enclosure,,additional allowance,
fire and service rescue equipment,,level,
vapour barriers,,close to the draw-off points,
day-care institutions,,spaced,
day-care centres,,within the area served,
early childhood education premises,,excluding display windows,
system that gives a warning at an early stage of a beginning fire,,at least the same extent as in the existing building,
Humus soil,,wheelchair user can pass a parked car,
organic substances,,"forms all, or part of, the approach route",
waste,,retained,
air barriers,,complex,
seams,,carried out in accordance with CIBSEs TM23,
firefighting and rescue operations,,located in the ceiling,
air duct,,passive stack ventilation,
outdoor air and exhaust air ducts,,downwind of intakes,
shutoff dampers,,kept to a minimum,
stop switch,,final,
chambers,,serves more than three storeys,
evacuation area,,"meet the needs of occupants with differing needs, including some older or disabled people",
exit passageways,,installing a chemical sanitary waste disposal unit,
elevator shafts,,avoid the need for the 300mm access space adjacent to the leading edge of the door,
space for commercial purposes,,capable of including an adult changing table,
sewer,,operate switches and controls,
letter,,use the facilities in the room,
common spaces,,able to manoeuvre around,
toilet and washing facility,,minimise heat gains into common spaces,
free  space,,through vertical risers,
exit enclosure,,Main,
load-bearing structures,,powered opening,
shutoff valves,,available to everybody,
house,,suitable for a wheelchair use,
apartment,,easy to install a lift,
devices,,minimum except where noted,
fixture,,located together at the end of a run,
connector pipe,,tall,
fire wall,,pair of,
drainage wells,,taller than the worktop height,
floor drain,,shut all the time,
Structures,,"designed for wheelchair users, ambulant disabled people, people of either sex with babies and small children or people encumbered by luggage",
residential buildings,,close to an accessible bathroom suitable for a wheelchair user,
cold water pipe,,avoided,
cold water system,,"able to locate a control, know which setting it is on and use it without inadvertently changing its setting",
Sewers,,"designed to give good colour rendering of all surfaces, without creating glare or pools of bright light and strong shadows",
wall structure,,Artificial,
"fixtures, fittings and fixed equipment",,able to reach all the facilities available within the building,
Spaces,,categorised separately,
pedestrian traffic,,shared,
exit route,,derived from the combined total of a buildings publicly accessible facilities,
Attics,,disorientate some visually impaired people,
floor voids,,At night,
Storage premises,,mounted at low or floor level,
hot  water cylinder,,facilities designed for individuals with complex and multiple impairments who may require the assistance of up to two assistants,
sound system,,Changing places toilets,
auditorium,,no less advantageously situated than other bedrooms,
restaurant,,installing a fold-down table,
conference facility,,they can be reached and used by all people independently or with companions,
facility for festive occasions,,modelled as closed,
teaching facility,,accessible to a wheelchair user,
similar assembly facility,,"able to move within, and between, storeys",
public service facility,,allow adaptation of the dwelling to meet the changing needs of occupants over time,
induction loop,,"between the kitchen, dining and living areas",
similar sound transmission system,,dwelling is wheelchair accessible,
building elements,,where required by a local planning authority,
turning  space,,easily altered to meet the needs of a wheelchair user,
hallway,,easily removed without structural alteration,
patient  rooms,,installed to allow the potential liftway to be used as storage or for other purposes,
staircase,,"located between 450mm and 1200mm above floor level, unless the window is fitted with a remote opening device that is within this height range",
Constructions,,"strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2",
roof structures,,under a stair that forms part of the storage provision,
driveways,,beyond the top and bottom nosings,
design solution,,be stepfree,
emergency exits,,be at the shallowest gradient that can reasonably be achieved,
service routes,,safe and convenient for everyone,
Parapets,,step-free approach route should be provided to a suitable alternative private entrance instead,
panel parts,,not reasonable to achieve a step-free approach route to the principal private entrance,
fasteners,,stepped change of level within the entrance storey should be avoided where possible,
Seats,,provide easy access between rooms on the entrance storey,
standing auditorium,,at least one space is a standard parking bay,
standing rows,,communal,
parking area,,capable of easy operation,
plot,,adopt the shallowest gradient that can reasonably be achieved,
building site,,lever operated,
emergency exit,,clear of all access zones,
crane,,private,
wheels,,as shallow as the site permits,
Their,,prevent scalding of a wheelchair users legs,
safety glass,,insulation to the underside,
warning sign,,clear of top step of any adjacent flight of steps,
mountings,,able to access and use the lift,
toilet facilities,,standard,
Ladders,,wide range,
Joints,,"measured through midline of the worktop, not the front or rear edge",
furnishings,,remains fully open,
devices that will close the door in the event of fire,,overridden by a door reactivating device that relies on appropriate electronic methods (but not a door edge pressure system,
load-bearing element,,meet the needs of occupants who use wheelchairs,
ventilation  system,,allow simple adaptation of the dwelling to meet the needs of occupants who use wheelchairs,
cooling energy production,,close to the communal entrance of each core of the block (or to the lift core where the parking bay is internal),
auxiliary units,,undergoing major renovation,
Exits,,for a non-technical audience,
energy declaration,,have access to either: a. cable routes; b. an electric vehicle charge point,
ground,,"provide healthy, safe and comfortable indoor air quality in occupiable spaces",
fire door,,"extract from indoor air substances that are harmful to health, excessive humidity, odours with adverse effects on comfort and indoor air impurities arising from humans, construction products and activities",
anchoring structures,,produce an adequate outdoor air flow to the building,
them,,"not cause any harmful spread of impurities, in particular odours",
safety lines,,transfer,
column,,recirculation,
columns,,not cause unreasonably vast damages (compartmentation by area),
Entrances,,limited,
playgrounds,,strong,
recreation areas,,flow away from the property in such a way that it does not cause problems to the waste water and storm water systems,
street areas,,minor,
loaded area,,achieve the contrasts in brightness needed for observation,
block of flats,,"not be allowed to ingress the ventilation system via externally mounted air transfer devices in quantities causing damage to the system, lowering air quality or impairing the functioning of the system",
terrace of houses,,not transfer harmfully to the wooden sole plates or upper wall and floor structures,
roof-lights,,from the foundation wall and the base floors concrete slab,
plumbing fixture,,eliminated with equipment in the outdoor space,
water point,,prevent the accumulation of moisture content of wall structures from internal water vapour diffusion or convection that is harmful from the viewpoint of moisture performance of structures,
pressure sewer,,drain off the roof without causing damage to the building,
groundwater zone,,protected against snow loads with a covering,
showers,,one above the other,
wash rooms,,"not be left under new buildings, in their crawl spaces and in their gravel backfills functioning as a drainage layer",
laundry room,,decomposing or rotting from moisture,
heat distribution room,,not be used as recirculation air,
ventilation unit room,,reached from the ground level without a need to pass through the exits of the storeys,
toilet facility,,arranged,
technical utility room,,to basement storeys,
car wash facility,,not change when the air flows of the units are being controlled,
special facilities,,between the rooms and in the ductworks,
outdoor and indoor spaces,,during the heating season,
malfunction detector,,not be designed to be combined in such a way that the directions of air flow between the rooms and in the ductworks may change when the air flows are being controlled,
leak detectors,,below the entry level of the building,
Drains,,above the entry level of the building,
waste water pumping station,,suitable for its purpose for transporting water for fire extinguishing,
pressure gauge,,permanently installed,
thermometers,,take into account children and users of wheelchairs,
Products,,outside the door,
control appliance,,wide enough that they can be used to transport an immobile individual on a stretcher,
insulation layer,,"calculated by increasing the original 1,200 millimetres by 400 millimetres for each additional group of 60 people",
storm water system,,requires,
Door furniture,,lit,
Entrance,,located in cold premises,
ticket dispensing machines,,provided for people in the building,
site,,accessed regularly,
double buggies,,located on the roof of the building,
building type,,uninterrupted,
Skirtings,,easily accessible,
casings,,"neither heat expansion nor forces generated by water flow cause the pipes to shift, loosen, break or make disturbing noises",
living area,,located so that they can be serviced and emptied easily and without causing problems,
remote opening device,,not cause odour problem,
warning,,resistant to earth pressure,
WC doors,,water tight,
shower,,located in a place where it can be easily inspected and serviced,
sinks,,compatible,
clear zone,,not cause glare that endangers safety,
WC pans,,enables safe use and servicing,
that part,,divided into fire compartments,
water seal,,leading to an evacuation area in a non-residential building,
hot water ring duct,,suitable for a person with mobility and functional impairment,
water pipe,,wall to the window of an adjacent fire compartment,
ring duct,,between facing walls of adjacent glazed balconies,
throttling valves,,combined into the same duct,
Waste water,,occur,
door viewer,,causes a hazard,
front doorset,,not spread in a roof or in its underlay,
morticed bolts,,conducted to the outdoors through individual extract air ducts,
Part 2 and 3,,"conducted through individual ducts, or common ducts serving spaces of the same type as regards level of air purity, to the outdoors, into a collection duct installed above the spaces it serves or into an extract air chamber",
timber sheathing,,conducted to vertical ducts,
expanded metal,,form a whole that prevents water from harmfully penetrating into the structures,
resilient material,,External,
common access point,,"not adversely affected by air velocity, thermal radiation, temperature fluctuation, temperature differences or surface temperatures",
gigabit-capable public electronic communications network,,comfortable,
gigabit-ready physical infrastructure,,During the design period of occupancy,
gained via an interconnecting doorset from the garage,,possible to transport an immobile individual on a stretcher via the exit route,
garage doorset,,close automatically when the system shuts down,
interconnecting doorset,,clearly labelled,
secure doorset,,during the hour of use assessed as the most critical,
Window handles,,Moisture-resistant,
access points,,covered by the pool,
cavity walls,,delivered to the dwelling by the district heat network,
leaves,,supplied from a district heat network,
cavities,,thicker,
front door,,upgraded,
electrical installations,,installed tight to the insulation and cavity apertures,
telegraph pole,,Fully insulated,
Buildings,,calculated based on a vertical position,
water meter,,give access for maintenance,
property,,provided above the insulation,
frame components,,boarded,
compliance checklist,,long-term,
cords,,calculated as an alternative to individual target rates for each dwelling,
Beading,,without air gaps between insulation panels and at edges,
mortice lock,,installed tight to the structure,
rim lock,,replaced with the equivalent area of floor with the same U-value as the pool surround,
Door,,fitted below damp-proof course level,
box,,fitted to the structure,
rails,,extend to the foundation block/structure,
stiles,,calculated for the element in the appropriate plane - either horizontal or vertical,
muntins,,chosen to achieve the lowest practicable U-value,
shutters,,used in the calculation of the dwelling primary energy rate and dwelling emission rate,
Frames,,with its appropriate fuel,
Guarding,,calculated using the same averaging methodology,
network distribution point,,same for each newly connected dwelling,
cabinet,,supplied from each heat source,
switches,,supplemented with low-emissivity secondary glazing,
Consumer units,,Single,
wide range of building types,,extend to the wall insulation,
floor-to-wall junctions,,"installed tight to the structure, without air gaps",
details,,worst performing in the product range,
Designs,,chosen for the calculation,
drawings,,calculated for a product range of doors,
Fixings,,removed to ensure a tight fit with the structure and cavities cleared of all debris,
fixings,,avoid any gaps between board edges and between the board facings,
timber frame,,undertaken to confirm that the designed details have been constructed,
leaf lintels,,located in an easily accessible place,
base plate,,isolated against water pressure,
lintel core,,allow water to flow into the floor drain,
meter boxes,,prevent the accumulation of damaging moisture into the roof structure resulting from water vapour diffusion or airflow,
cylinder,,between waterproofing and the floor drain,
heat loss,,located underneath the flooring in wet rooms,
Foundations,,functioning as waterproofing,
blocks,,installed under the flooring and behind the wall covering,
Grommets,,provide waterproofing,
flexible collars,,accessible for inspections and maintenance of the equipment and systems located there,
wall-to-floor junctions,,"form a whole, preventing the transfer of water across the surface of the enclosure into the construction by wind, slanting rain and wind pressure",
existing system,,flow from spaces of higher indoor air purity to spaces of lower indoor air purity,
hot water storage vessel,,sufficiently close access to the building (emergency access road),
mortar joint,,smoke can be extracted from the different premises in the building,
block leaf,,to enhance,
Cavity walls,,flow of replacement air,
Walls,,withstand the loads caused by fan pressure while the shutoff dampers are closed,
thermal element,,against the ground,
thermal energy,,structurally managed,
Mortar snots,,onsite,
Perimeter insulation,,allowing the cellar wall to dry in an outward direction,
Roofs,,concealed by subsequent work,
air gap,,upstand,
rafters,,taken as meaning any other district heat network,
insulant,,"form a whole which is impermeable on all waterproofed surfaces as well as on their seams, penetrations and joints",
insulated plane,,waterproofing,
perimeter insulation,,located on the outer surface of the exterior wall structure against the ground or inside the exterior thermal insulation facing the ground,
plaster-board,,"not freeze in the systems pipes, channels or devices",
damage,,not drift into or migrate as a capillary flow from the wet rooms to the surrounding structures and rooms,
tears,,suitable for its purpose,
gaps,,"free of enclosed, non-ventilated areas",
compressible tape,,fully usable as a ventilation air flow path,
low expansion foam,,positioned,
gables,,leading to the ventilation space or gap of a structure equipped with a ventilation space or gap,
party walls,,rigid enough that the thermal and moisture movements do no damage the wet room waterproofing or surface structures,
Incoming services,,prevent moisture from the surrounding ground and storm water from penetrating the wall structure,
holes,,not feature horizontal structures or patterns that make it possible to climb,
door systems,,safe to move in the rows,
Loft hatches,,"based on the outer developed surface area, which is often greater than the area of the roof opening",
trigeneration scheme,,restricted,
Cooling pipework,,calculation of the room temperature for the summer season,
heating and cooling systems,,dynamic,
Hot water pipework,,"calculated  on  the  basis  of  air  flows,  specific  fan  powers  and operating times for all air handling units and powered roof ventilators in the building",
heating technology,,applied to the load-bearing capacity,
electric resistance heating,,longer,
automatic meter reading,,required to have a longer fire resistance time with respect to integrity E and insulation I than with respect to load-bearing capacity R,
data collection facilities,,between the various storeys,
cases,,used as the surface area of the storeys,
measures,,moving between levels,
electricity,,open in the direction of the exit,
building envelope,,storey-level,
enduse categories,,sealed for water drainage,
cooling,,properly inclined,
display windows,,"behind  surfaces  exposed  to  running  water,  repetitious splash water or water condensation",
Thermal bridging,,demonstrated by a fullscale test,
controlled fittings,,from one balcony to another and to an adjacent fire compartment,
airleakage gaps,,Extensive,
these calculations,,extends above the roofing of a building,
thermal energy streams,,restrict the spread of fire,
hot water circuits,,tied to every floor and roof,
central heating,,Edge,
air-leakage gaps,,from the foundations to the roof level,
hatches,,located in the immediate vicinity of the grid lines of the columns and the walls,
thermal bridging,,not intersect a walkway leading to a play area,
penetrating services,,located inside the building envelope,
boards,,calculated on the basis of the heating of air after heat recovery to supply air temperature and any heating before heat recovery,
Voids,,kept open in normal use,
Wall,,taken into account in heat loss calculations,
places,,drawn up when designing a building,
eaves,,fully  or in  part  above  the  ground,
system for onsite electricity generation,,located  inside  the  building envelopes insulation,
window and door frames,,constructed separately so that in the event of a fire there is no need to use any door that may be in the fire wall,
membranes,,separated by a fire wall,
detailing,,taken  into  account  where  the  use  of  the  systems  is  required  for  indoor temperature control,
pipe,,fire and smoke-proof,
buried part,,designed and installed,
sheathing board,,surrounding the building and other public areas,
airsealing tape,,designed  and implemented,
air barrier,,restricted at least by storey,
window and door units,,wall-type,
levels,,added to the thermal load of the spaces of the building,
,,located  inside  the  building  envelope,
,,not permitted within the building,
,,used  for  sleeping  or  rest,
,,in front of the outside door,
,,divided into 400 m2 parts,
,,uppermost,
,,serving the use of the building,
,,provide access,
,,marked  with  the  International  Symbol  of  Access,
,,located on the level of second storey,
,,essentially relate to the business of the building,
,,non-fire-compartmented,
,,intended for service housing or supported housing of a person with mobility and functional impairment,
,,intended  for  sheltered  housing  or  supported  housing  of  a  person  with mobility or functional impairment,
,,for firefighting operations,
,,partitioned by accommodation room,
,,resistant to the effects of water,
,,exposed to moisture,
,,located at a maximum distance of three meters from the floor drain,
,,located below the height of backwater,
,,easy to open in an emergency,
,,leading to them,
,,from the outside,
,,so close to a neighbouring building that the spread of fire is evident,
,,situated adjacent to a neighbouring building,
,,"divided  into  parts  of  no  more  than  2,400 square  metres",
,,Large,
,,placed between 200 and 300 millimetres from the rear wall,
,,used in the calculations for buildings other than those in intended use categories 1 and 2 outside the occupancy period,
,,open separately into each adjoining fire compartment without a need to open the doors at the same time,
,,Partitioning,
,,used in the wintertime,
,,"protected from snow and ice falling from the roof of the building using snow barriers, taking into account the pitch of the roof",
,,terraced,
,,recreation,
,,abrupt,
,,assembly,
,,explosive,
,,potentially flammable,
,,appropriate for purge ventilation,
,,taken of outside noise,
,,"withstand the load imposed by soil, soil corrosion as well as subsidence of soil",
,,through them,
,,"reserved for pedestrians in connection with vehicle traffic and goods transport routes, doors and gates in the yards of buildings other than single-family houses",
,,marked,
,,"constructed making appropriate use of walkways, roof ladders, safety ladders, roof stairs, roof treads and foot rails",
,,suitable for users of wheelchairs and walking frames with wheels,
,,appropriately located,
,,considering the intended use and functional units of the building and distances in the building,
,,continue past the start and end points of the structure,
,,common play,
,,indicated by appropriate barriers or suitable planted areas,
,,protected by a fixed collision barrier,
,,outfitted with a base that cushions any fall,
,,located in a way that does not restrict pedestrian routes or the space required for opening doors and gates,
,,intended for vehicle traffic,
,,designed and installed to minimise noise,
,,intermittent,
,,easy to close,
,,divided between the buildings in proportion to their areas,
,,conveyed via heat pipes external to the building from a shared heat exchanger or heat generation unit to several buildings,
,,not overly noisy,
,,operating in normal background ventilation mode,
,,notified as soon as possible,
,,not possible to notify the building control body in advance,
,,not cause a danger of an accident,
,,not impede loading and unloading,
,,easily releasable by an adult,
,,used as emergency exits,
,,shaped safely,
,,withstand the load to which it is normally subject,
,,linked,
,,used in an emergency situation,
,,between vertical and horizontal structures,
,,intended for more than 60 persons,
,,limit the easy opening of the window to 100 millimetres,
,,danger of falling,
,,used by children,
,,accessible via the interior,
,,accessible via the interior and exterior of the building,
,,placed around tables,
,,linked to one another in at least four groups,
,,intended for the use of a person with mobility and functional impairment,
,,windswept,
,,calculated span by span,
,,continuing,
,,on the side of the rows,
,,arranged as rows of seating,
,,designed without a reduction factor,
,,acting as parapets,
,,marked in such a way that they can be easily noticed,
,,designed to the concentrated load Qk = 0.3 kN acting on a random spot,
,,danger of collision,
,,designed to an axle load Qk,
,,not posted,
,,stated on this sign in kg/m2,
,,determined together with the crane supplier,
,,protected so as to prevent the danger of collision,
,,"from the surface of a driveway or walkway of the lower edge of a structural element, device or equipment protruding from the building, such as a balcony, bay window, sign, lighting device or awning",
,,from the ground,
,,"separated from pedestrian, play and recreation areas",
,,"leading to room spaces of a non-residential building as well as to residential rooms of a residential building, necessary spaces serving residence and spaces serving the use of the building",
,,not cause a danger of falling or a danger of injury from fragments falling onto persons below,
,,directly accessible from the end of each row,
,,between the floors of the respective rows of seats,
,,sloped,
,,fixed to a base,
,,"based on the developed surface area of the rooflight (U-values), which is often greater than the area of the roof opening",
,,assessed for the whole fabric element,
,,displayed over three lines,
,,intended for everyday use,
,,After a period of non-use of at least eight hours,
,,allows a firm grip,
,,designed and shaped,
,,cannot be conveyed from the drainage points of a building with gravity unloading via a gradient sewer,
,,convey foundation drainage water via drainage wells to a collection well,
,,installed for the entire length,
,,not visible,
,,structural,
,,designed so as to prevent detrimental cross-flow of water from the hot water pipe to the cold water pipe or vice versa,
,,on the end wall,
,,on the side wall,
,,between a door that opens onto a landing and the upper edge of the ramp or flight of stairs,
,,ensured with pressure testing using water,
,,placed so as to divide the passageway into parts no wider than the abovementioned width,
,,located in assembly areas,
,,covered or heated,
,,carried out with household water,
,,service,
,,remove any dirt and debris from the pipe network,
,,Between the locking points,
,,glued in position,
,,mechanically fixed,
,,fitted with child safety devices,
,,looped,
,,After rebating,
,,unheated,
,,uncovered,
,,"located in a place where it is easy to install, read and service and where it cannot freeze",
,,pass between the lower edge of a barriers protective part and the landing or the upper surface or edge of a step,
,,conveyed to the sewer of the water supply plant or for purification property-specifically or to a cesspit,
,,measure the temperature of return water,
,,domestic hot water,
,,mixed domestic hot water,
,,entire pipeline may be cleansed,
,,continue at least 300 millimetres past the start and end points of the structure,
,,cleansed by water rinsing,
,,located near to significant local pollution sources,
,,In connection with repair and alteration work,
,,contains only vertical structures,
,,cleansable,
,,lead to spaces in a dwelling or accommodation facility other than those that are necessary for living,
,,used only as an emergency exit,
,,clearly recorded,
,,designed as ramped access,
,,over its whole length or in part,
,,maximised to enable wheelchair users to approach,
,,"beneath basins, services and pedestals",
,,wall hung (typically with their rim 770-850mm above finished floor level),
,,level access,
,,Wheelchair accessible,
,,carry out all necessary manoeuvres,
,,pass others who are travelling in the opposite direction,
,,approach the building,
,,pass through its openings,
,,to be installed,
,,with a possibility to water damage,
,,leakproof,
,,intended for public use,
,,in connection with saunas,
,,fitted with a floor drain,
,,repair and alteration,
,,detectable,
,,extend to a height of at least 0.7 metres from the surface of the landing or step,
,,available from the hot water plumbing fixture within 20 seconds,
,,connected to the sewer via a drainage fixture,
,,suitable for conveying household water,
,,able to pass through the opening between the plane level and the handrail or wall,
,,fitted with a raised camber to prevent slipping over the edge,
,,"located in a place where they are easy to install, read and service",
,,apartment-specific,
,,withstand internal excess pressure of at least 1 000 kilopascals,
,,cleansable via manholes and fittings,
,,surface-mounted,
,,designed to minimise the intake of external air pollutants,
,,placed sufficiently in advance of the hazard to allow time to stop,
,,included when assessing whether the works constitute a major renovation,
,,outside of the covered car park,
,,not enough,
,,installed in all remaining associated parking spaces,
,,not a requirement to install electric vehicle charge points,
,,installed in a minimum of one fifth of the total number of parking spaces,
,,exempt from the requirement to install the electric vehicle charge point,
,,installing the required electric vehicle charge point and cable routes for electric vehicle charge points,
,,first be applied to those parking spaces outside the covered car park,
,,to install electric vehicle charge points or cable routes,
,,mixed-use,
,,Each,
,,provided from a metered electricity supply point to the future connection location,
,,provided with cable routes,
,,labelled,
,,clearly identified,
,,meet the requirement to install electric vehicle charge points,
,,mixed use,
,,alongside the cable duct,
,,constructed of coursed brickwork or blockwork,
,,sited where access to maintain in future is unrestricted,
,,weatherproof for its location,
,,suitably,
,,sited where a person installing an electric vehicle charge point in future will see it,
,,made reflecting the conditions that can reasonably be foreseen during future use,
,,for design,
,,critical,
,,consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure,
,,determining costs,
,,suitable for use by electric vehicles with charging inlets in different places,
,,installing electric vehicle charge points and cable routes,
,,"without causing such deflection or deformation of any part of the building, or such movement of the ground, as will impair the stability of any part of another building",
,,safely,
,,transmitted by it to the ground,
,,sustained,
,,backfilled in a way that avoids damage to the duct,
,,pulled through in future,
,,centrally hinged,
,,provided in a clear manner,
,,solid,
,,"provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety",
,,given to owners so that it can be used effectively,
,,about the overheating mitigation strategy and its maintenance requirements,
,,"protect persons operating, maintaining or altering the installations from fire or injury",
,,access can be gained to a flat within the building,
,,resist unauthorised access,
,,considered to form part of the overheating mitigation strategy,
,,opened with a very low risk of occupants falling from height,
,,mounted on a wall,
,,demonstrate compliance with Part F of the Building Regulations,
,,sized to prevent the passage of a 100mm sphere,
,,mechanically fixed to the structure of the building in accordance with the manufacturers installation instructions,
,,used in the day and the windows opened only when it is cooler outside,
,,"assessed as a single side, bottom or top hung window",
,,laminated,
,,exist to see callers,
,,laid as straight as possible,
,,next to the doorset,
,,access to cable routes,
,,at its maximum openable angle,
,,carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks,
,,vehicular,
,,pedestrian,
,,considered to provide useful ventilation,
,,opened securely,
,,available for ventilation during sleeping hours,
,,given to the owner of the building to allow them to use the overheating mitigation strategy effectively,
,,erected,
,,to the full height of the door,
,,signed by a person who is competent to design the residential building,
,,securely held in place,
,,non-primary,
,,avoid any door construction joints,
,,not be so narrow that it might be missed in a single stride,
,,within this height range,
,,fitted without any air gaps,
,,lapped,
,,between the air barrier and the insulation layer,
,,installed when the eaves are still accessible,
,,using proprietary grommets or collars with air-sealing tape or sealant,
,,sealed to the air barrier,
,,at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation,
,,extend below the damp-proof course,
,,cavity,
,,Masonry,
,,suitably designed and installed to ensure optimum airtightness,
,,core drilled to limit damage,
,,small as possible,
,,services penetrate the air barrier,
,,Internal,
,,detailed to ensure that insulation in the external wall is continuous,
,,Intermediate,
,,filled with solid material,
,,tongue and groove,
,,ensuring sufficient space to allow adequate screed flow between ducts,
,,considered,
,,calculated for non-exempt buildings with low energy demand,
,,"taped to surrounding structural openings, using air sealing tape",
,,connect to the primary air barrier,
,,applied at junctions and edges,
,,forms the air barrier,
,,above ground,
,,used to achieve a robust and durable seal at these penetrations,
,,careful,
,,penetrated,
,,testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances,
,,commissioned,
,,above the cavity closure or barrier,
,,installed to the top of the wall plate,
,,fully filled with insulation,
,,between insulation at the top of the external wall and the cavity wall/timber frame insulation,
,,used for all construction types,
,,minimise how often the air barrier is penetrated,
,,attributed in proportion to the output energy streams,
,,reviewed by the designer and installer,
,,clearly indicate means to limit disruption to the insulation,
,,avoided wherever possible,
,,Complex,
,,pointed within the cavity,
,,fully filled,
,,inner,
,,between the wall and joist,
,,extend to the wall,
,,infilled,
,,between boards,
,,unavoidable,
,,repaired before boarding,
,,considered within reveal soffits,
,,used in reveals to abut jambs,
,,"tight to the structure, cavity closers, lintels and cavity trays",
,,provided for junctions,
,,include specifications for key materials,
,,grouped,
,,"provided to clearly identify the position, continuity and extent of the air barrier",
,,continuous with wall insulation,
,,detailed to achieve continuity of insulation,
,,sealed to the air barrier with air-sealing tape or sealant,
,,used around incoming services,
,,same as those specified in the design for the above-ground main wall element (in masonry construction),
,,below the damp-proof course,
,,from the cylinder,
,,not listed,
,,installed behind the enclosure,
,,recessed,
,,not be continuous,
,,included within the depth of the intermediate floor structure,
,,used in the external wall,
,,where the intermediate floor structure breaches the external wall insulation,
,,not damage the airtightness barrier,
,,thoroughly cleaned and flushed out,
,,uninsulated,
,,700-1000mm above floor level,
,,rigidly supported in a way that avoids impeding finger grip,
,,"extend safely beyond the top and bottom of a flight of steps, or a ramp, to give both stability and warning of the presence of a change in level",
,,set at heights that are convenient for all users of the building,
,,as gentle as possible,
,,within the approach,
,,capable of being held closed when not in use,
,,"accessible to all, particularly wheelchair users and people with limited physical dexterity",
,,open inwards providing that the door can be easily rehung to open outwards,
,,readily apparent against the background of the door,
,,easy to operate by people with limited manual dexterity,
,,manually operated non-powered,
,,between 1350mm and 1450mm above floor level,
,,for use by children and people of short stature,
,,"strong enough to support grab rails, seats and other adaptations that could impose a load of 1.5kN/m2",
,,"people are able to travel along them easily, without excessive effort and without the risk of tripping or falling",
,,surfaced,
,,spaced away from the wall,
,,obtain tickets for pay and display parking,
,,easily recognisable,
,,"allows a person in a wheelchair, or a person of short stature, to gain access close to the machine and reach the payment and ticket dispensing functions",
,,difference in level between the entrance storey and the site entry point is minimised,
,,"designed, within the overall constraints of space",
,,discounted when measuring clear width,
,,convenient for entry into the building,
,,"alight from a vehicle close to the principal entrance, or alternative accessible entrance, of the building",
,,arrive as passengers,
,,with mobility impairments,
,,allowing sufficient reaction time for both parties to avoid a collision,
,,see other people approaching from the opposite direction,
,,appreciate easily where to place their feet by highlighting nosings and avoiding open rises,
,,"wide enough to allow unrestricted passage for a variety of users, including wheelchair users, people carrying luggage, people with assistance dogs, and parents with pushchairs and small children",
,,wider than wheelchairs,
,,alternative,
,,main staff,
,,incorporating ramped access,
,,carefully considered to suit the needs of people who cannot react quickly,
,,clearly sign-posted,
,,permitted,
,,insulated to a degree that is reasonable in the particular case,
,,"when there is no demand for space heating, the heating appliance and pump are switched off",
,,grid-supplied,
,,at a single location,
,,calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround,
,,treat the feed water to water heaters and the hot water circuit of combination boilers to reduce limescale accumulation,
,,both,
,,Energy Related Products Regulations and the Building Regulations both apply,
,,practical,
,,modular,
,,standard thickness,
,,requires thicker glass,
,,always useful,
,,outside,
,,inside,
,,insulated along its whole length,
